120607300721003732TIGOR
120607300721003731  1  1PADI-PADIAN
120607300721003731102102KACANG-KACANGAN
120607300721003731103103Kacang tanah tanpa kulit	                         Kg	                0        1
120607300721003731104104Kacang kedelai	                                   Kg	                0        1
120607300721003731105105Kacang lainnya	                                   Kg	                0        1
120607300721003731106106Tahu	                                             Kg	                0        1
120607300721003731107107Tempe	                                            Kg	                0        1
120607300721003731108108Oncom	                                            Ons	               0        1
120607300721003731109109Hasil lain dari kacang-kacangan	                  Ons	               0        1
120607300721003731110110BUAH-BUAHAN
120607300721003731111111Jeruk, jeruk bali	                                Kg	                0        1
120607300721003731112112Mangga	                                           Kg	                0        1
120607300721003731113113Apel	                                             Kg	                0        1
120607300721003731114114Rambutan	                                         Kg	                0        1
120607300721003731115115Duku, langsat	                                    Kg	                0        1
120607300721003731116116Durian	                                           Kg	                0        1
120607300721003731117117Salak	                                            Kg	                0        1
120607300721003731118118Pisang ambon	                                     Kg	                0        1
120607300721003731119119Pisang lainnya	                                   Kg	                0        1
120607300721003731120120Pepaya	                                           Kg	                0        1
120607300721003731121121Semangka	                                         Kg	                0        1
120607300721003731122122Tomat buah	                                       Kg	                0        1
120607300721003731123123Alpokat	                                          Kg	                0        1
120607300721003731124124Jambu Biji	                                       Kg	                0        1
120607300721003731125125Buah-buahan lainnya	                              Kg	                0        1
120607300721003731126126MINYAK DAN KELAPA
120607300721003731127127Minyak kelapa	                                    Liter	             0        1
120607300721003731128128Minyak goreng  (kelapa sawit, bunga matahari)	    Liter	             0        1
120607300721003731129129Kelapa	                                           Butir	             0        1
120607300721003731130130Minyak dan kelapa lainnya	                        	                  0        1
120607300721003731131131BAHAN MINUMAN
120607300721003731132132Gula pasir	                                       Ons	               0        1
120607300721003731133133Gula merah, gula air (pohon aren, kelapa, lontar)	Ons	               0        1
120607300721003731134134Teh bubuk	                                        Ons	               0        1
120607300721003731135135Teh celup (sachet)	                               2 gr	              0        1
120607300721003731136136Kopi (bubuk, biji)	                               Ons	               0        1
120607300721003731137137Kopi instan (sachet)	                             20 gr	             0        1
120607300721003731138138Bahan minuman lainnya	                            	                  0        1
120607300721003731139139BUMBU-BUMBUAN
120607300721003731140140Garam	                                            Gram	              0        1
120607300721003731141141Kemiri	                                           Gram	              0        1
120607300721003731142142Ketumbar/jinten	                                  Gram	              0        1
120607300721003731143143Merica/lada	                                      Gram	              0        1
120607300721003731144144Jahe	                                             Gram	              0        1
120607300721003731145145Kunyit	                                           Gran	              0        1
120607300721003731146146Asam	                                             Gram	              0        1
120607300721003731147147Terasi/petis	                                     Gram	              0        1
120607300721003731148148Kecap	                                            100 ml	            0        1
120607300721003731149149Penyedap masakan/vetsin	                          Gram	              0        1
120607300721003731150150Sambal jadi	                                      100 ml	            0        1
120607300721003731151151Saus tomat	                                       100 ml	            0        1
120607300721003731152152Bumbu maskan jadi/kemasan, bumbu racikan	         Gram	              0        1
120607300721003731153153Bumbu dapur lainnya (kencur, pala, kapulaga, dsb)	Gram	              0        1
120607300721003731154154KONSUMSI LAINNYA
120607300721003731155155Mie instan	                                       Bungkus	           0        1
120607300721003731156156Kerupuk	                                          Ons	               0        1
120607300721003731157157Bubur bayi kemasan	                               Kotak kec	         0        1
120607300721003731158158Lainnya	                                          .........	         0        1
120607300721003731159159MAKANAN DAN MINUMAN JADI
120607300721003731160160Roti tawar	                                       Potong	            0        1
120607300721003731161161Roti manis, roti lainnya	                         Potong	            0        1
120607300721003731162162Kue kering, biskuit, semprong	                    Ons	               0        1
120607300721003731163163Kue basah (kue lapis, bika ambon, lemper, dsb)	   Buah	              0        1
120607300721003731164164Makanan gorengan (tahu, tempe, bakwan, pisang)	   Potong	            0        1
120607300721003731165165Makanan gorengan	                                 Potong	            0        1
120607300721003731166166Bubur kacang hijau	                               Porsi	             0        1
120607300721003731167167Gado-gado, ketoprak, pecel	                       Porsi	             0        1
120607300721003731168168Nasi campur/rames	                                Porsi	             0        1
120607300721003731169169Nasi goreng	                                      Porsi	             0        1
120607300721003731170170Nasi putih	                                       Porsi	             0        1
120607300721003731171171Lontong/ketupat sayur	                            Porsi	             0        1
120607300721003731172172Soto, gule, sop, rawon, cincang	                  Porsi	             0        1
120607300721003731173173Sayur matang (ditumis, disantan, dsb)	            Porsi	             0        1
120607300721003731174174Sate, tongseng	                                   Porsi	             0        1
120607300721003731175175Mie bakso, mie rebus, mie goreng	                 Porsi	             0        1
120607300721003731176176Mie instan	                                       Porsi	             0        1
120607300721003731177177Makanan ringan anak-anak, krupuk/kripik	          Ons	               0        1
120607300721003731178178Ikan matang	                                      Potong	            0        1
120607300721003731179179Ayam/daging matang (ayam goreng, rendang, dsb)	   Potong	            0        1
120607300721003731180180Daging olahan matang (sosis. nugget, daging asap, Potong	            0        1
120607300721003731181181Bubur ayam	                                       Porsi	             0        1
120607300721003731182182Siomay, batagor	                                  Porsi	             0        1
120607300721003731183183Makanan jadi lainnya	                             	                  0        1
120607300721003731184184Air kemasan	                                      Liter	             0        1
120607300721003731185185Air kemasan galon	                                Galon	             0        1
120607300721003731186186Air teh kemasan	                                  250 ml	            0        1
120607300721003731187187Sari buah kemasan	                                200 ml	            0        1
120607300721003731188188Minuman jadi (kopi, kopi susu, teh, susu coklat, dGelas	             0        1
120607300721003731189189Es krim	                                          Mangkok k	         0        1
120607300721003731190190Es lainnya	                                       Porsi	             0        1
120607300721003731191191Minuman keras lainnya	                            Liter	             0        1
120607300721003731192192ROKOK DAN TEMBAKAU
120607300721003731193193Rokok kretek filter	                              Batang	            0        1
120607300721003731194194Rokok kretek tanpa filter	                        Batang	            0        1
120607300721003731195195Rokok putih	                                      Batang	            0        1
120607300721003731196196Tembakau	                                         Ons	               0        1
120607300721003731197197Rokok dan tembakau lainnya	                       .........	         0        1
120607300721003731198201A. Nilai kontrak sebulan	                         bulan	             0        1
120607300721003731199202A. Nilai sewa sebulan	                            bulan	             0        1
120607300721003731200206Harga Listrik	                                    Kwh	               0        1
120607300721003731201208Harga Air PAM	                                    M3	                0        1
120607300721003731202216Harga Bensin	                                     Liter	             0        1
120607300721003731203218Harga Solar	                                      Liter	             0        1
120607300721003731204222Harga Minyak pelumas	                             Liter	             0        1
120607300721003731205225Harga LPG	                                        Kg	                0        1
120607300721003731206227Harga Gas kota	                                   M3	                0        1
120607300721003731207229Harga Minyak tanah	                               Liter	             0        1
